t_us,voltage_v,current_a,current_ref_a
202000,4.177,0.380,nan
204000,4.177,0.380,nan
206000,4.177,0.380,nan
208000,4.177,0.380,nan
210000,4.177,0.380,nan
212000,4.177,0.380,nan
214000,4.177,0.380,nan
216000,4.177,0.380,nan
218000,4.177,0.380,nan
220000,4.177,0.380,nan
222000,4.177,0.380,nan
224000,4.177,0.380,nan
226000,4.177,0.380,nan
228000,4.177,0.380,nan
230000,4.177,0.380,nan
232000,4.177,0.380,nan
234000,4.177,0.380,nan
236000,4.177,0.380,nan
238000,4.177,0.380,nan
240000,4.177,0.380,nan
242000,4.177,0.380,nan
244000,4.177,0.380,nan
246000,4.177,0.380,nan
248000,4.177,0.380,nan
250000,4.177,0.380,nan
252000,4.177,0.380,nan
254000,4.177,0.380,nan
256000,4.177,0.380,nan
258000,4.177,0.380,nan
260000,4.177,0.380,nan
262000,4.177,0.380,nan
264000,4.177,0.380,nan
266000,4.177,0.380,nan
268000,4.177,0.380,nan
270000,4.177,0.380,nan
272000,4.177,0.380,nan
274000,4.177,0.380,nan
276000,4.177,0.380,nan
278000,4.177,0.380,nan
280000,4.177,0.380,nan
282000,4.177,0.380,nan
284000,4.177,0.380,nan
286000,4.177,0.380,nan
288000,4.177,0.380,nan
290000,4.177,0.380,nan
292000,4.177,0.380,nan
294000,4.177,0.380,nan
296000,4.177,0.380,nan
298000,4.177,0.380,nan
300000,4.177,0.380,nan
302000,4.177,0.380,nan
304000,4.177,0.380,nan
306000,4.177,0.380,nan
308000,4.177,0.380,nan
310000,4.177,0.380,nan
312000,4.177,0.380,nan
314000,4.177,0.380,nan
316000,4.177,0.380,nan
318000,4.177,0.380,nan
320000,4.177,0.380,nan
322000,4.177,0.380,nan
324000,4.177,0.380,nan
326000,4.177,0.380,nan
328000,4.177,0.380,nan
330000,4.177,0.380,nan
332000,4.177,0.380,nan
334000,4.177,0.380,nan
336000,4.177,0.380,nan
338000,4.177,0.380,nan
340000,4.177,0.380,nan
342000,4.177,0.380,nan
344000,4.177,0.380,nan
346000,4.177,0.380,nan
348000,4.177,0.380,nan
350000,4.177,0.380,nan
352000,4.177,0.380,nan
354000,4.177,0.380,nan
356000,4.177,0.380,nan
358000,4.177,0.380,nan
360000,4.177,0.380,nan
362000,4.177,0.380,nan
364000,4.177,0.380,nan
366000,4.177,0.380,nan
368000,4.177,0.380,nan
370000,4.177,0.380,nan
372000,4.177,0.380,nan
374000,4.177,0.380,nan
376000,4.177,0.380,nan
378000,4.177,0.380,nan
380000,4.177,0.380,nan
382000,4.177,0.380,nan
384000,4.177,0.380,nan
386000,4.177,0.380,nan
388000,4.177,0.380,nan
390000,4.177,0.380,nan
392000,4.177,0.380,nan
394000,4.177,0.380,nan
396000,4.177,0.380,nan
398000,4.177,0.380,nan
400000,4.177,0.380,nan
402000,4.177,0.380,nan
404000,4.177,0.380,nan
406000,4.177,0.380,nan
408000,4.177,0.380,nan
410000,4.177,0.380,nan
412000,4.177,0.380,nan
414000,4.177,0.380,nan
416000,4.177,0.380,nan
418000,4.177,0.380,nan
420000,4.177,0.380,nan
422000,4.177,0.380,nan
424000,4.177,0.380,nan
426000,4.177,0.380,nan
428000,4.177,0.380,nan
430000,4.177,0.380,nan
432000,4.177,0.380,nan
434000,4.177,0.380,nan
436000,4.177,0.380,nan
438000,4.177,0.380,nan
440000,4.177,0.380,nan
442000,4.177,0.380,nan
444000,4.177,0.380,nan
446000,4.177,0.380,nan
448000,4.177,0.380,nan
450000,4.177,0.380,nan
452000,4.177,0.380,nan
454000,4.177,0.380,nan
456000,4.177,0.380,nan
458000,4.177,0.380,nan
460000,4.177,0.380,nan
462000,4.177,0.380,nan
464000,4.177,0.380,nan
466000,4.177,0.380,nan
468000,4.177,0.380,nan
470000,4.177,0.380,nan
472000,4.177,0.380,nan
474000,4.177,0.380,nan
476000,4.177,0.380,nan
478000,4.177,0.380,nan
480000,4.177,0.380,nan
482000,4.177,0.380,nan
484000,4.177,0.380,nan
486000,4.177,0.380,nan
488000,4.177,0.380,nan
490000,4.177,0.380,nan
492000,4.177,0.380,nan
494000,4.177,0.380,nan
496000,4.177,0.380,nan
498000,4.177,0.380,nan
500000,4.177,0.380,nan
502000,4.177,0.380,nan
504000,4.177,0.380,nan
506000,4.177,0.380,nan
508000,4.177,0.380,nan
510000,4.177,0.380,nan
512000,4.177,0.380,nan
514000,4.177,0.380,nan
516000,4.177,0.380,nan
518000,4.177,0.380,nan
520000,4.177,0.380,nan
522000,4.177,0.380,nan
524000,4.177,0.380,nan
526000,4.177,0.380,nan
528000,4.177,0.380,nan
530000,4.177,0.380,nan
532000,4.177,0.380,nan
534000,4.177,0.380,nan
536000,4.177,0.380,nan
538000,4.177,0.380,nan
540000,4.177,0.380,nan
542000,4.177,0.380,nan
544000,4.177,0.380,nan
546000,4.177,0.380,nan
548000,4.177,0.380,nan
550000,4.177,0.380,nan
552000,4.177,0.380,nan
554000,4.177,0.380,nan
556000,4.177,0.380,nan
558000,4.177,0.380,nan
560000,4.177,0.380,nan
562000,4.177,0.380,nan
564000,4.177,0.380,nan
566000,4.177,0.380,nan
568000,4.177,0.380,nan
570000,4.177,0.380,nan
572000,4.177,0.380,nan
574000,4.177,0.380,nan
576000,4.177,0.380,nan
578000,4.177,0.380,nan
580000,4.177,0.380,nan
582000,4.177,0.380,nan
584000,4.177,0.380,nan
586000,4.177,0.380,nan
588000,4.177,0.380,nan
590000,4.177,0.380,nan
592000,4.177,0.380,nan
594000,4.177,0.380,nan
596000,4.177,0.380,nan
598000,4.177,0.380,nan
600000,4.177,0.380,nan
602000,4.177,0.380,nan
604000,4.177,0.380,nan
606000,4.177,0.380,nan
608000,4.177,0.380,nan
610000,4.177,0.380,nan
612000,4.177,0.380,nan
614000,4.177,0.380,nan
616000,4.177,0.380,nan
618000,4.177,0.380,nan
620000,4.177,0.380,nan
622000,4.177,0.380,nan
624000,4.177,0.380,nan
626000,4.177,0.380,nan
628000,4.177,0.380,nan
630000,4.177,0.380,nan
632000,4.177,0.380,nan
634000,4.177,0.380,nan
636000,4.177,0.380,nan
638000,4.177,0.380,nan
640000,4.177,0.380,nan
642000,4.177,0.380,nan
644000,4.177,0.380,nan
646000,4.177,0.380,nan
648000,4.177,0.380,nan
650000,4.177,0.380,nan
652000,4.177,0.380,nan
654000,4.177,0.380,nan
656000,4.177,0.380,nan
658000,4.177,0.380,nan
660000,4.177,0.380,nan
662000,4.177,0.380,nan
664000,4.177,0.380,nan
666000,4.177,0.380,nan
668000,4.177,0.380,nan
670000,4.177,0.380,nan
672000,4.177,0.380,nan
674000,4.177,0.380,nan
676000,4.177,0.380,nan
678000,4.177,0.380,nan
680000,4.177,0.380,nan
682000,4.177,0.380,nan
684000,4.177,0.380,nan
686000,4.177,0.380,nan
688000,4.177,0.380,nan
690000,4.177,0.380,nan
692000,4.177,0.380,nan
694000,4.177,0.380,nan
696000,4.177,0.380,nan
698000,4.177,0.380,nan
700000,4.177,0.380,nan
702000,4.177,0.380,nan
704000,4.177,0.380,nan
706000,4.177,0.380,nan
708000,4.177,0.380,nan
710000,4.177,0.380,nan
712000,4.177,0.380,nan
714000,4.177,0.380,nan
716000,4.177,0.380,nan
718000,4.177,0.380,nan
720000,4.177,0.380,nan
722000,4.177,0.380,nan
724000,4.177,0.380,nan
726000,4.177,0.380,nan
728000,4.177,0.380,nan
730000,4.177,0.380,nan
732000,4.177,0.380,nan
734000,4.177,0.380,nan
736000,4.177,0.380,nan
738000,4.177,0.380,nan
740000,4.177,0.380,nan
742000,4.177,0.380,nan
744000,4.177,0.380,nan
746000,4.177,0.380,nan
748000,4.177,0.380,nan
750000,4.177,0.380,nan
752000,4.177,0.380,nan
754000,4.177,0.380,nan
756000,4.177,0.380,nan
758000,4.177,0.380,nan
760000,4.177,0.380,nan
762000,4.177,0.380,nan
764000,4.177,0.380,nan
766000,4.177,0.380,nan
768000,4.177,0.380,nan
770000,4.177,0.380,nan
772000,4.177,0.380,nan
774000,4.177,0.380,nan
776000,4.177,0.380,nan
778000,4.177,0.380,nan
780000,4.177,0.380,nan
782000,4.177,0.380,nan
784000,4.177,0.380,nan
786000,4.177,0.380,nan
788000,4.177,0.380,nan
790000,4.177,0.380,nan
792000,4.177,0.380,nan
794000,4.177,0.380,nan
796000,4.177,0.380,nan
798000,4.177,0.380,nan
800000,4.177,0.380,nan
802000,4.177,0.380,nan
804000,4.177,0.380,nan
806000,4.177,0.380,nan
808000,4.177,0.380,nan
810000,4.177,0.380,nan
812000,4.177,0.380,nan
814000,4.177,0.380,nan
816000,4.177,0.380,nan
818000,4.177,0.380,nan
820000,4.177,0.380,nan
822000,4.177,0.380,nan
824000,4.177,0.380,nan
826000,4.177,0.380,nan
828000,4.177,0.380,nan
830000,4.177,0.380,nan
832000,4.177,0.380,nan
834000,4.177,0.380,nan
836000,4.177,0.380,nan
838000,4.177,0.380,nan
840000,4.177,0.380,nan
842000,4.177,0.380,nan
844000,4.177,0.380,nan
846000,4.177,0.380,nan
848000,4.177,0.380,nan
850000,4.177,0.380,nan
852000,4.177,0.380,nan
854000,4.177,0.380,nan
856000,4.177,0.380,nan
858000,4.177,0.380,nan
860000,4.177,0.380,nan
862000,4.177,0.380,nan
864000,4.177,0.380,nan
866000,4.177,0.380,nan
868000,4.177,0.380,nan
870000,4.177,0.380,nan
872000,4.177,0.380,nan
874000,4.177,0.380,nan
876000,4.177,0.380,nan
878000,4.177,0.380,nan
880000,4.177,0.380,nan
882000,4.177,0.380,nan
884000,4.177,0.380,nan
886000,4.177,0.380,nan
888000,4.177,0.380,nan
890000,4.177,0.380,nan
892000,4.177,0.380,nan
894000,4.177,0.380,nan
896000,4.177,0.380,nan
898000,4.177,0.380,nan
900000,4.177,0.380,nan
902000,4.177,0.380,nan
904000,4.177,0.380,nan
906000,4.177,0.380,nan
908000,4.177,0.380,nan
910000,4.177,0.380,nan
912000,4.177,0.380,nan
914000,4.177,0.380,nan
916000,4.177,0.380,nan
918000,4.177,0.380,nan
920000,4.177,0.380,nan
922000,4.177,0.380,nan
924000,4.177,0.380,nan
926000,4.177,0.380,nan
928000,4.177,0.380,nan
930000,4.177,0.380,nan
932000,4.177,0.380,nan
934000,4.177,0.380,nan
936000,4.177,0.380,nan
938000,4.177,0.380,nan
940000,4.177,0.380,nan
942000,4.177,0.380,nan
944000,4.177,0.380,nan
946000,4.177,0.380,nan
948000,4.177,0.380,nan
950000,4.177,0.380,nan
952000,4.177,0.380,nan
954000,4.177,0.380,nan
956000,4.177,0.380,nan
958000,4.177,0.380,nan
960000,4.177,0.380,nan
962000,4.177,0.380,nan
964000,4.177,0.380,nan
966000,4.177,0.380,nan
968000,4.177,0.380,nan
970000,4.177,0.380,nan
972000,4.177,0.380,nan
974000,4.177,0.380,nan
976000,4.177,0.380,nan
978000,4.177,0.380,nan
980000,4.177,0.380,nan
982000,4.177,0.380,nan
984000,4.177,0.380,nan
986000,4.177,0.380,nan
988000,4.177,0.380,nan
990000,4.177,0.380,nan
992000,4.177,0.380,nan
994000,4.177,0.380,nan
996000,4.177,0.380,nan
998000,4.177,0.380,nan
1000000,4.177,0.380,nan
1002000,4.176,0.401,nan
1004000,4.175,0.423,nan
1006000,4.173,0.444,nan
1008000,4.172,0.465,nan
1010000,4.171,0.487,nan
1012000,4.170,0.508,nan
1014000,4.168,0.529,nan
1016000,4.167,0.551,nan
1018000,4.166,0.572,nan
1020000,4.164,0.593,nan
1022000,4.163,0.615,nan
1024000,4.162,0.636,nan
1026000,4.161,0.657,nan
1028000,4.159,0.679,nan
1030000,4.158,0.700,nan
1032000,4.157,0.721,nan
1034000,4.155,0.743,nan
1036000,4.154,0.764,nan
1038000,4.153,0.785,nan
1040000,4.152,0.807,nan
1042000,4.150,0.828,nan
1044000,4.149,0.849,nan
1046000,4.148,0.871,nan
1048000,4.146,0.892,nan
1050000,4.145,0.913,nan
1052000,4.144,0.935,nan
1054000,4.143,0.956,nan
1056000,4.141,0.977,nan
1058000,4.140,0.999,nan
1060000,4.139,1.020,nan
1062000,4.138,1.041,nan
1064000,4.136,1.063,nan
1066000,4.135,1.084,nan
1068000,4.134,1.105,nan
1070000,4.132,1.127,nan
1072000,4.131,1.148,nan
1074000,4.130,1.169,nan
1076000,4.129,1.191,nan
1078000,4.127,1.212,nan
1080000,4.126,1.233,nan
1082000,4.125,1.255,nan
1084000,4.123,1.276,nan
1086000,4.122,1.297,nan
1088000,4.121,1.319,nan
1090000,4.120,1.340,nan
1092000,4.118,1.361,nan
1094000,4.117,1.383,nan
1096000,4.116,1.404,nan
1098000,4.114,1.425,nan
1100000,4.113,1.447,nan
1102000,4.112,1.468,nan
1104000,4.111,1.489,nan
1106000,4.109,1.511,nan
1108000,4.108,1.532,nan
1110000,4.107,1.553,nan
1112000,4.106,1.575,nan
1114000,4.104,1.596,nan
1116000,4.103,1.617,nan
1118000,4.102,1.639,nan
1120000,4.100,1.660,nan
1122000,4.099,1.681,nan
1124000,4.098,1.703,nan
1126000,4.097,1.724,nan
1128000,4.095,1.745,nan
1130000,4.094,1.767,nan
1132000,4.093,1.788,nan
1134000,4.091,1.809,nan
1136000,4.090,1.831,nan
1138000,4.089,1.852,nan
1140000,4.088,1.873,nan
1142000,4.086,1.895,nan
1144000,4.085,1.916,nan
1146000,4.084,1.937,nan
1148000,4.082,1.959,nan
1150000,4.081,1.980,nan
1152000,4.081,1.980,nan
1154000,4.081,1.980,nan
1156000,4.081,1.980,nan
1158000,4.081,1.980,nan
1160000,4.081,1.980,nan
1162000,4.081,1.980,nan
1164000,4.081,1.980,nan
1166000,4.081,1.980,nan
1168000,4.081,1.980,nan
1170000,4.081,1.980,nan
1172000,4.081,1.980,nan
1174000,4.081,1.980,nan
1176000,4.081,1.980,nan
1178000,4.081,1.980,nan
1180000,4.081,1.980,nan
1182000,4.081,1.980,nan
1184000,4.081,1.980,nan
1186000,4.081,1.980,nan
1188000,4.081,1.980,nan
1190000,4.081,1.980,nan
1192000,4.081,1.980,nan
1194000,4.081,1.980,nan
1196000,4.081,1.980,nan
1198000,4.081,1.980,nan
1200000,4.081,1.980,nan
1202000,4.081,1.980,nan
1204000,4.081,1.980,nan
1206000,4.081,1.980,nan
1208000,4.081,1.980,nan
1210000,4.081,1.980,nan
1212000,4.081,1.980,nan
1214000,4.081,1.980,nan
1216000,4.081,1.980,nan
1218000,4.081,1.980,nan
1220000,4.081,1.980,nan
1222000,4.081,1.980,nan
1224000,4.081,1.980,nan
1226000,4.081,1.980,nan
1228000,4.081,1.980,nan
1230000,4.081,1.980,nan
1232000,4.081,1.980,nan
1234000,4.081,1.980,nan
1236000,4.081,1.980,nan
1238000,4.081,1.980,nan
1240000,4.081,1.980,nan
1242000,4.081,1.980,nan
1244000,4.081,1.980,nan
1246000,4.081,1.980,nan
1248000,4.081,1.980,nan
1250000,4.081,1.980,nan
1252000,4.081,1.980,nan
1254000,4.081,1.980,nan
1256000,4.081,1.980,nan
1258000,4.081,1.980,nan
1260000,4.081,1.980,nan
1262000,4.081,1.980,nan
1264000,4.081,1.980,nan
1266000,4.081,1.980,nan
1268000,4.081,1.980,nan
1270000,4.081,1.980,nan
1272000,4.081,1.980,nan
1274000,4.081,1.980,nan
1276000,4.081,1.980,nan
1278000,4.081,1.980,nan
1280000,4.081,1.980,nan
1282000,4.081,1.980,nan
1284000,4.081,1.980,nan
1286000,4.081,1.980,nan
1288000,4.081,1.980,nan
1290000,4.081,1.980,nan
1292000,4.081,1.980,nan
1294000,4.081,1.980,nan
1296000,4.081,1.980,nan
1298000,4.081,1.980,nan
1300000,4.081,1.980,nan
1302000,4.081,1.980,nan
1304000,4.081,1.980,nan
1306000,4.081,1.980,nan
1308000,4.081,1.980,nan
1310000,4.081,1.980,nan
1312000,4.081,1.980,nan
1314000,4.081,1.980,nan
1316000,4.081,1.980,nan
1318000,4.081,1.980,nan
1320000,4.081,1.980,nan
1322000,4.081,1.980,nan
1324000,4.081,1.980,nan
1326000,4.081,1.980,nan
1328000,4.081,1.980,nan
1330000,4.081,1.980,nan
1332000,4.081,1.980,nan
1334000,4.081,1.980,nan
1336000,4.081,1.980,nan
1338000,4.081,1.980,nan
1340000,4.081,1.980,nan
1342000,4.081,1.980,nan
1344000,4.081,1.980,nan
1346000,4.081,1.980,nan
1348000,4.081,1.980,nan
1350000,4.081,1.980,nan
1352000,4.081,1.980,nan
1354000,4.081,1.980,nan
1356000,4.081,1.980,nan
1358000,4.081,1.980,nan
1360000,4.081,1.980,nan
1362000,4.081,1.980,nan
1364000,4.081,1.980,nan
1366000,4.081,1.980,nan
1368000,4.081,1.980,nan
1370000,4.081,1.980,nan
1372000,4.081,1.980,nan
1374000,4.081,1.980,nan
1376000,4.081,1.980,nan
1378000,4.081,1.980,nan
1380000,4.081,1.980,nan
1382000,4.081,1.980,nan
1384000,4.081,1.980,nan
1386000,4.081,1.980,nan
1388000,4.081,1.980,nan
1390000,4.081,1.980,nan
1392000,4.081,1.980,nan
1394000,4.081,1.980,nan
1396000,4.081,1.980,nan
1398000,4.081,1.980,nan
1400000,4.081,1.980,nan
1402000,4.081,1.980,nan
1404000,4.081,1.980,nan
1406000,4.081,1.980,nan
1408000,4.081,1.980,nan
1410000,4.081,1.980,nan
1412000,4.081,1.980,nan
1414000,4.081,1.980,nan
1416000,4.081,1.980,nan
1418000,4.081,1.980,nan
1420000,4.081,1.980,nan
1422000,4.081,1.980,nan
1424000,4.081,1.980,nan
1426000,4.081,1.980,nan
1428000,4.081,1.980,nan
1430000,4.081,1.980,nan
1432000,4.081,1.980,nan
1434000,4.081,1.980,nan
1436000,4.081,1.980,nan
1438000,4.081,1.980,nan
1440000,4.081,1.980,nan
1442000,4.081,1.980,nan
1444000,4.081,1.980,nan
1446000,4.081,1.980,nan
1448000,4.081,1.980,nan
1450000,4.081,1.980,nan
1452000,4.081,1.980,nan
1454000,4.081,1.980,nan
1456000,4.081,1.980,nan
1458000,4.081,1.980,nan
1460000,4.081,1.980,nan
1462000,4.081,1.980,nan
1464000,4.081,1.980,nan
1466000,4.081,1.980,nan
1468000,4.081,1.980,nan
1470000,4.081,1.980,nan
1472000,4.081,1.980,nan
1474000,4.081,1.980,nan
1476000,4.081,1.980,nan
1478000,4.081,1.980,nan
1480000,4.081,1.980,nan
1482000,4.081,1.980,nan
1484000,4.081,1.980,nan
1486000,4.081,1.980,nan
1488000,4.081,1.980,nan
1490000,4.081,1.980,nan
1492000,4.081,1.980,nan
1494000,4.081,1.980,nan
1496000,4.081,1.980,nan
1498000,4.081,1.980,nan
1500000,4.081,1.980,nan
1502000,4.081,1.980,nan
1504000,4.081,1.980,nan
1506000,4.081,1.980,nan
1508000,4.081,1.980,nan
1510000,4.081,1.980,nan
1512000,4.081,1.980,nan
1514000,4.081,1.980,nan
1516000,4.081,1.980,nan
1518000,4.081,1.980,nan
1520000,4.081,1.980,nan
1522000,4.081,1.980,nan
1524000,4.081,1.980,nan
1526000,4.081,1.980,nan
1528000,4.081,1.980,nan
1530000,4.081,1.980,nan
1532000,4.081,1.980,nan
1534000,4.081,1.980,nan
1536000,4.081,1.980,nan
1538000,4.081,1.980,nan
1540000,4.081,1.980,nan
1542000,4.081,1.980,nan
1544000,4.081,1.980,nan
1546000,4.081,1.980,nan
1548000,4.081,1.980,nan
1550000,4.081,1.980,nan
1552000,4.081,1.980,nan
1554000,4.081,1.980,nan
1556000,4.081,1.980,nan
1558000,4.081,1.980,nan
1560000,4.081,1.980,nan
1562000,4.081,1.980,nan
1564000,4.081,1.980,nan
1566000,4.081,1.980,nan
1568000,4.081,1.980,nan
1570000,4.081,1.980,nan
1572000,4.081,1.980,nan
1574000,4.081,1.980,nan
1576000,4.081,1.980,nan
1578000,4.081,1.980,nan
1580000,4.081,1.980,nan
1582000,4.081,1.980,nan
1584000,4.081,1.980,nan
1586000,4.081,1.980,nan
1588000,4.081,1.980,nan
1590000,4.081,1.980,nan
1592000,4.081,1.980,nan
1594000,4.081,1.980,nan
1596000,4.081,1.980,nan
1598000,4.081,1.980,nan
1600000,4.081,1.980,nan
1602000,4.081,1.980,nan
1604000,4.081,1.980,nan
1606000,4.081,1.980,nan
1608000,4.081,1.980,nan
1610000,4.081,1.980,nan
1612000,4.081,1.980,nan
1614000,4.081,1.980,nan
1616000,4.081,1.980,nan
1618000,4.081,1.980,nan
1620000,4.081,1.980,nan
1622000,4.081,1.980,nan
1624000,4.081,1.980,nan
1626000,4.081,1.980,nan
1628000,4.081,1.980,nan
1630000,4.081,1.980,nan
1632000,4.081,1.980,nan
1634000,4.081,1.980,nan
1636000,4.081,1.980,nan
1638000,4.081,1.980,nan
1640000,4.081,1.980,nan
1642000,4.081,1.980,nan
1644000,4.081,1.980,nan
1646000,4.081,1.980,nan
1648000,4.081,1.980,nan
1650000,4.081,1.980,nan
1652000,4.081,1.980,nan
1654000,4.081,1.980,nan
1656000,4.081,1.980,nan
1658000,4.081,1.980,nan
1660000,4.081,1.980,nan
1662000,4.081,1.980,nan
1664000,4.081,1.980,nan
1666000,4.081,1.980,nan
1668000,4.081,1.980,nan
1670000,4.081,1.980,nan
1672000,4.081,1.980,nan
1674000,4.081,1.980,nan
1676000,4.081,1.980,nan
1678000,4.081,1.980,nan
1680000,4.081,1.980,nan
1682000,4.081,1.980,nan
1684000,4.081,1.980,nan
1686000,4.081,1.980,nan
1688000,4.081,1.980,nan
1690000,4.081,1.980,nan
1692000,4.081,1.980,nan
1694000,4.081,1.980,nan
1696000,4.081,1.980,nan
1698000,4.081,1.980,nan
1700000,4.081,1.980,nan
1702000,4.081,1.980,nan
1704000,4.081,1.980,nan
1706000,4.081,1.980,nan
1708000,4.081,1.980,nan
1710000,4.081,1.980,nan
1712000,4.081,1.980,nan
1714000,4.081,1.980,nan
1716000,4.081,1.980,nan
1718000,4.081,1.980,nan
1720000,4.081,1.980,nan
1722000,4.081,1.980,nan
1724000,4.081,1.980,nan
1726000,4.081,1.980,nan
1728000,4.081,1.980,nan
1730000,4.081,1.980,nan
1732000,4.081,1.980,nan
1734000,4.081,1.980,nan
1736000,4.081,1.980,nan
1738000,4.081,1.980,nan
1740000,4.081,1.980,nan
1742000,4.081,1.980,nan
1744000,4.081,1.980,nan
1746000,4.081,1.980,nan
1748000,4.081,1.980,nan
1750000,4.081,1.980,nan
1752000,4.081,1.980,nan
1754000,4.081,1.980,nan
1756000,4.081,1.980,nan
1758000,4.081,1.980,nan
1760000,4.081,1.980,nan
1762000,4.081,1.980,nan
1764000,4.081,1.980,nan
1766000,4.081,1.980,nan
1768000,4.081,1.980,nan
1770000,4.081,1.980,nan
1772000,4.081,1.980,nan
1774000,4.081,1.980,nan
1776000,4.081,1.980,nan
1778000,4.081,1.980,nan
1780000,4.081,1.980,nan
1782000,4.081,1.980,nan
1784000,4.081,1.980,nan
1786000,4.081,1.980,nan
1788000,4.081,1.980,nan
1790000,4.081,1.980,nan
1792000,4.081,1.980,nan
1794000,4.081,1.980,nan
1796000,4.081,1.980,nan
1798000,4.081,1.980,nan
1800000,4.081,1.980,nan
1802000,4.081,1.980,nan
1804000,4.081,1.980,nan
1806000,4.081,1.980,nan
1808000,4.081,1.980,nan
1810000,4.081,1.980,nan
1812000,4.081,1.980,nan
1814000,4.081,1.980,nan
1816000,4.081,1.980,nan
1818000,4.081,1.980,nan
1820000,4.081,1.980,nan
1822000,4.081,1.980,nan
1824000,4.081,1.980,nan
1826000,4.081,1.980,nan
1828000,4.081,1.980,nan
1830000,4.081,1.980,nan
1832000,4.081,1.980,nan
1834000,4.081,1.980,nan
1836000,4.081,1.980,nan
1838000,4.081,1.980,nan
1840000,4.081,1.980,nan
1842000,4.081,1.980,nan
1844000,4.081,1.980,nan
1846000,4.081,1.980,nan
1848000,4.081,1.980,nan
1850000,4.081,1.980,nan
1852000,4.081,1.980,nan
1854000,4.081,1.980,nan
1856000,4.081,1.980,nan
1858000,4.081,1.980,nan
1860000,4.081,1.980,nan
1862000,4.081,1.980,nan
1864000,4.081,1.980,nan
1866000,4.081,1.980,nan
1868000,4.081,1.980,nan
1870000,4.081,1.980,nan
1872000,4.081,1.980,nan
1874000,4.081,1.980,nan
1876000,4.081,1.980,nan
1878000,4.081,1.980,nan
1880000,4.081,1.980,nan
1882000,4.081,1.980,nan
1884000,4.081,1.980,nan
1886000,4.081,1.980,nan
1888000,4.081,1.980,nan
1890000,4.081,1.980,nan
1892000,4.081,1.980,nan
1894000,4.081,1.980,nan
1896000,4.081,1.980,nan
1898000,4.081,1.980,nan
1900000,4.081,1.980,nan
1902000,4.081,1.980,nan
1904000,4.081,1.980,nan
1906000,4.081,1.980,nan
1908000,4.081,1.980,nan
1910000,4.081,1.980,nan
1912000,4.081,1.980,nan
1914000,4.081,1.980,nan
1916000,4.081,1.980,nan
1918000,4.081,1.980,nan
1920000,4.081,1.980,nan
1922000,4.081,1.980,nan
1924000,4.081,1.980,nan
